STN_CD,STN_NM,ELVTR_NM,OPR_SEC,INSTL_PSTN,USE_YN,ELVTR_SE,collected_at
0150,서울역(1),승강기)에스컬레이터-서울(1)역 4번출구 4호기,B1-1F,4번 출입구,사용가능,ES,2026-08-07T05:48:55Z
0150,서울역(1),승강기)에스컬레이터-서울(1)역 4번출구 5호기,1F-B1,4번 출입구,사용가능,ES,2026-08-07T05:48:55Z
0150,서울역(1),승강기)에스컬레이터-서울(1)역 상행(9-3) 3호기,B2-B1,"시청 방면9-3,남영 방면2-3",사용가능,ES,2026-08-07T05:48:55Z
0150,서울역(1),승강기)에스컬레이터-서울(1)역 하행(2-3) 2호기,B1-B2,"남영 방면2-3,시청 방면9-3",사용가능,ES,2026-08-07T05:48:55Z
0150,서울역(1),승강기)에스컬레이터-서울역(1) 4호선연결통로 1호기,B2-B1,연결통로(4호선 방면),사용가능,ES,2026-08-07T05:48:55Z
0150,서울역(1),승강기)엘리베이터-서울(1)역 2번 출구측 외부#1,B1-1F,2번 출입구,사용가능,EV,2026-08-07T05:48:55Z
0150,서울역(1),승강기)엘리베이터-서울(1)역 3번 출구측 외부#3,B1-1F,3번 출입구,사용가능,EV,2026-08-07T05:48:55Z
0150,서울역(1),승강기)엘리베이터-서울(1)역 4번 출구측 외부#2,B1-1F,4번 출입구,사용가능,EV,2026-08-07T05:48:55Z
0150,서울역(1),승강기)엘리베이터-서울(1)역 섬식(상) 5-1 내부#1,B2-B1,"시청 방면5-1,남영 방면6-4",사용가능,EV,2026-08-07T05:48:55Z
0151,시청(1),승강기)에스컬레이터-시청(1) 1번출구 3호기,B1-1F,1번 출입구,사용가능,ES,2026-08-07T05:48:55Z
0151,시청(1),승강기)에스컬레이터-시청(1) 5번출구 1호기,1F-B1,5번 출입구,사용가능,ES,2026-08-07T05:48:55Z
0151,시청(1),승강기)에스컬레이터-시청(1) 5번출구 2호기,B1-1F,5번 출입구,사용가능,ES,2026-08-07T05:48:55Z
0151,시청(1),승강기)엘리베이터-시청(1) 1-2번 출구사이 외부#1,B1-1F,"1,2번 출입구 사이",사용가능,EV,2026-08-07T05:48:55Z
0151,시청(1),승강기)엘리베이터-시청(1) 상행 3-2 내부#1,B2-B1,종각 방면3-2,사용가능,EV,2026-08-07T05:48:55Z
0151,시청(1),승강기)엘리베이터-시청(1) 하행 8-3 내부#2,B2-B1,서울역 방면8-3,사용가능,EV,2026-08-07T05:48:55Z
0152,종각,승강기)에스컬레이터-종각 1번출구 상행1,1F-B1,1번 출입구,사용가능,ES,2026-08-07T05:48:55Z
0152,종각,승강기)에스컬레이터-종각 1번출구 상행2,B1-1F,1번 출입구,사용가능,ES,2026-08-07T05:48:55Z
0152,종각,승강기)엘리베이터-종각 1번 출구측 외부#2,B1-1F,1번 출입구,사용가능,EV,2026-08-07T05:48:55Z
0152,종각,승강기)엘리베이터-종각 3번 출구측 외부#1,B1-1F,3번 출입구,사용가능,EV,2026-08-07T05:48:55Z
0152,종각,승강기)엘리베이터-종각 상행 6-4 내부#1,B2-B1,종로3가 방면6-4,사용가능,EV,2026-08-07T05:48:55Z
0152,종각,승강기)엘리베이터-종각 하행 4-4 내부#2,B2-B1,시청 방면4-4,사용가능,EV,2026-08-07T05:48:55Z
0153,종로3가(1),승강기)에스컬레이터-종로3가(1) 14번출구 3호기,1F-B1,14번 출입구,사용가능,ES,2026-08-07T05:48:55Z
0153,종로3가(1),승강기)에스컬레이터-종로3가(1) 14번출구 4호기,B1-1F,14번 출입구,사용가능,ES,2026-08-07T05:48:55Z
0153,종로3가(1),승강기)에스컬레이터-종로3가(1) 1번출구 1호기,1F-B1,1번 출입구,사용가능,ES,2026-08-07T05:48:55Z
0153,종로3가(1),승강기)에스컬레이터-종로3가(1) 1번출구 2호기,B1-1F,1번 출입구,사용가능,ES,2026-08-07T05:48:55Z
