stnNm,stnCd,stnNo,lineNm,trffcWksnHlprTelno,crtrYmd,collected_at
서울역,0150,133,1호선,0232736677,20250531,2026-08-07T05:49:06Z
동대문,0155,128,1호선,0232736677,20250531,2026-08-07T05:49:06Z
시청,0201,201,2호선,0232736677,20250531,2026-08-07T05:49:06Z
을지로4가,0204,204,2호선,0232736677,20250531,2026-08-07T05:49:06Z
동대문역사문화공원,0205,205,2호선,0232736677,20250531,2026-08-07T05:49:06Z
선릉,0220,220,2호선,0232736677,20250531,2026-08-07T05:49:06Z
사당,0226,226,2호선,0232736677,20250531,2026-08-07T05:49:06Z
대림,0233,233,2호선,0232736677,20250531,2026-08-07T05:49:06Z
연신내,0311,321,3호선,0232736677,20250531,2026-08-07T05:49:06Z
종로3가,0319,329,3호선,0232736677,20250531,2026-08-07T05:49:06Z
고속터미널,0329,339,3호선,0232736677,20250531,2026-08-07T05:49:06Z
교대,0330,340,3호선,0232736677,20250531,2026-08-07T05:49:06Z
수유,0414,414,4호선,0232736677,20250531,2026-08-07T05:49:06Z
동대문역사문화공원,0422,422,4호선,0232736677,20250531,2026-08-07T05:49:06Z
충무로,0423,423,4호선,0232736677,20250531,2026-08-07T05:49:06Z
서울역,0426,426,4호선,0232736677,20250531,2026-08-07T05:49:06Z
동작,0431,431,4호선,0232736677,20250531,2026-08-07T05:49:06Z
사당,0433,433,4호선,0232736677,20250531,2026-08-07T05:49:06Z
여의도,2527,526,5호선,0232736677,20250531,2026-08-07T05:49:06Z
중계,2716,714,7호선,0232736677,20250531,2026-08-07T05:49:06Z
고속터미널,2736,734,7호선,0232736677,20250531,2026-08-07T05:49:06Z
