collected_at,stnCd,fcltNm,lineNm,stnNm,stnNo,crtrYmd,fcltSeNm,cusarThrghSeNm,nrsrmUtztnMth,stllAcsYn,doorItphnEn,itphnEn,nrspcLockEn,vstcdEn,hnstzYn,dprSwchbrdCnt,dprBoxEn,nrspttEn,spsofaEn,mpsofaEn,tableEn,wshstndEn,trmmtEn,hgmtEn,wthtEn,rfgrEn,mwovenEn,chlhtrEn,acEn,fanEn,htrEn,acnrEn,dspdprEn,tsEn,ptlEn,safiEn,lsEn,chwpEn,infntBedEn,nrsstlEn,nrsplwEn,nrslgtEn,bmbEn,mwovenosEn,portEn,drtbEn,sofaCnt,infntBedCnt,stnFlr,exitNo,utztnHr,operInstTelno,gateInoutSe,dtlPstn,FCAR,grndUdgdSe
2026-08-07 15:39,0153,수유실,1호선,종로3가,130,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,1,0,B1,12,영업시간내,0261101301,외부,B1 고객안전실 인접,11.700000000,지하
2026-08-07 15:39,0155,수유실,1호선,동대문,128,,모유수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,Y,1,1,B1,"1, 6",영업시간내,0261101281,내부,B1 고객안전실  인접,9.900000000,지하
2026-08-07 15:39,0201,수유실,2호선,시청,201,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,1,1,B2,"8,11,12",영업시간내,0261102011,내부,B2 고객안전실 인접,24.500000000,지하
2026-08-07 15:39,0211,수유실,2호선,성수,211,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,2,1,2,1,영업시간내,0261102111,내부,1번출구방면 게이트 안쪽,19.800000000,지상
2026-08-07 15:39,0214,수유실,2호선,강변,214,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,Y,3,1,1,2,영업시간내,0261102141,내부,2번출구방면 게이트 안쪽,14.000000000,지상
2026-08-07 15:39,0216,수유실,2호선,잠실,216,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,N,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,Y,1,0,B1,"1,2",영업시간내,0261102161,외부,B1 8호선 연결통로방면 게이트 옆,14.000000000,지하
2026-08-07 15:39,0219,수유실,2호선,삼성,219,,모유수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,1,0,B1,"1,2,8",영업시간내,0261102191,외부,B1 아이센터 옆,7.500000000,지하
2026-08-07 15:39,0222,수유실,2호선,강남,222,,모유수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,B1,"1, 12",영업시간내,2061102221,내부,B1 고객안전실  앞,8.000000000,지하
2026-08-07 15:39,0230,수유실,2호선,신림,230,,모유수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,1,0,B1,5,영업시간내,0261102301,내부,B1 고객안전실 방면 게이트 옆,7.600000000,지하
2026-08-07 15:39,0233,수유실,2호선,대림,233,,가족수유실,단독,1인가족 단독사용,Y,Y,Y,N,N,Y,1,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,1,1,2,"1, 2",영업시간내,0261102331,내부,2F 고객안전실  인접,13.000000000,지상
