fcltNm,sftyScfldEn,lineNm,stnCd,stnNm,stnNo,crtrYmd,mngrTelno,collected_at
안전발판,Y,1호선,0150,서울역,133,20241231,0261101331,2026-08-07T05:49:07Z
안전발판,Y,1호선,0151,시청,132,20241231,0261101321,2026-08-07T05:49:07Z
안전발판,Y,1호선,0152,종각,131,20241231,0261101311,2026-08-07T05:49:07Z
안전발판,Y,1호선,0153,종로3가,130,20241231,0261101301,2026-08-07T05:49:07Z
안전발판,Y,1호선,0154,종로5가,129,20241231,0261101291,2026-08-07T05:49:07Z
안전발판,Y,1호선,0155,동대문,128,20241231,0261101281,2026-08-07T05:49:07Z
안전발판,Y,1호선,0156,신설동,126,20241231,0261101261,2026-08-07T05:49:07Z
안전발판,Y,1호선,0157,제기동,125,20241231,0261101251,2026-08-07T05:49:07Z
안전발판,Y,1호선,0158,청량리,124,20241231,0261101241,2026-08-07T05:49:07Z
안전발판,Y,1호선,0159,동묘앞,127,20241231,0261101271,2026-08-07T05:49:07Z
안전발판,Y,2호선,0201,시청,201,20241231,0261102011,2026-08-07T05:49:07Z
안전발판,Y,2호선,0202,을지로입구,202,20241231,0261102021,2026-08-07T05:49:07Z
안전발판,Y,2호선,0203,을지로3가,203,20241231,0261102031,2026-08-07T05:49:07Z
안전발판,Y,2호선,0204,을지로4가,204,20241231,0261102041,2026-08-07T05:49:07Z
안전발판,Y,2호선,0205,동대문역사문화공원,205,20241231,0261102051,2026-08-07T05:49:07Z
안전발판,Y,2호선,0206,신당,206,20241231,0261102061,2026-08-07T05:49:07Z
안전발판,Y,2호선,0207,상왕십리,207,20241231,0261102071,2026-08-07T05:49:07Z
안전발판,Y,2호선,0208,왕십리,208,20241231,0261102081,2026-08-07T05:49:07Z
안전발판,Y,2호선,0209,한양대,209,20241231,0261102091,2026-08-07T05:49:07Z
안전발판,Y,2호선,0210,뚝섬,210,20241231,0261102101,2026-08-07T05:49:07Z
안전발판,Y,2호선,0211,성수,211,20241231,0261102111,2026-08-07T05:49:07Z
안전발판,Y,2호선,0212,건대입구,212,20241231,0261102121,2026-08-07T05:49:07Z
안전발판,Y,2호선,0213,구의,213,20241231,0261102131,2026-08-07T05:49:07Z
안전발판,Y,2호선,0214,강변,214,20241231,0261102141,2026-08-07T05:49:07Z
안전발판,Y,2호선,0215,잠실나루,215,20241231,0261102151,2026-08-07T05:49:07Z
안전발판,Y,2호선,0216,잠실,216,20241231,0261102161,2026-08-07T05:49:07Z
안전발판,Y,2호선,0217,잠실새내,217,20241231,0261102171,2026-08-07T05:49:07Z
안전발판,Y,2호선,0218,종합운동장,218,20241231,0261102181,2026-08-07T05:49:07Z
안전발판,Y,2호선,0219,삼성,219,20241231,0261102191,2026-08-07T05:49:07Z
안전발판,Y,2호선,0220,선릉,220,20241231,0261102201,2026-08-07T05:49:07Z
안전발판,Y,2호선,0221,역삼,221,20241231,0261102211,2026-08-07T05:49:07Z
안전발판,Y,2호선,0222,강남,222,20241231,0261102221,2026-08-07T05:49:07Z
안전발판,Y,2호선,0223,교대,223,20241231,0261102231,2026-08-07T05:49:07Z
안전발판,Y,2호선,0224,서초,224,20241231,0261102241,2026-08-07T05:49:07Z
안전발판,Y,2호선,0225,방배,225,20241231,0261102251,2026-08-07T05:49:07Z
안전발판,Y,2호선,0226,사당,226,20241231,0261102261,2026-08-07T05:49:07Z
안전발판,Y,2호선,0227,낙성대,227,20241231,0261102271,2026-08-07T05:49:07Z
안전발판,Y,2호선,0228,서울대입구,228,20241231,0261102281,2026-08-07T05:49:07Z
안전발판,Y,2호선,0229,봉천,229,20241231,0261102291,2026-08-07T05:49:07Z
안전발판,Y,2호선,0230,신림,230,20241231,0261102301,2026-08-07T05:49:07Z
안전발판,Y,2호선,0231,신대방삼거리,231,20241231,0261102311,2026-08-07T05:49:07Z
안전발판,Y,2호선,0232,구로디지털단지,232,20241231,0261102321,2026-08-07T05:49:07Z
안전발판,Y,2호선,0233,대림,233,20241231,0261102331,2026-08-07T05:49:07Z
안전발판,Y,2호선,0234,신도림,234,20241231,0261102341,2026-08-07T05:49:07Z
안전발판,Y,2호선,0235,문래,235,20241231,0261102351,2026-08-07T05:49:07Z
안전발판,Y,2호선,0236,영등포구청,236,20241231,0261102361,2026-08-07T05:49:07Z
안전발판,Y,2호선,0237,당산,237,20241231,0261102371,2026-08-07T05:49:07Z
안전발판,Y,2호선,0238,합정,238,20241231,0261102381,2026-08-07T05:49:07Z
안전발판,Y,2호선,0239,홍대입구,239,20241231,0261102391,2026-08-07T05:49:07Z
안전발판,Y,2호선,0240,신촌,240,20241231,0261102401,2026-08-07T05:49:07Z
안전발판,Y,2호선,0241,이대,241,20241231,0261102411,2026-08-07T05:49:07Z
안전발판,Y,2호선,0242,아현,242,20241231,0261102421,2026-08-07T05:49:07Z
안전발판,Y,2호선,0243,충정로,243,20241231,0261102431,2026-08-07T05:49:07Z
안전발판,Y,2호선,0244,용답,211-1,20241231,0261101341,2026-08-07T05:49:07Z
안전발판,Y,2호선,0245,신답,211-2,20241231,0261101351,2026-08-07T05:49:07Z
안전발판,Y,2호선,0246,신설동,211-4,20241231,0261101371,2026-08-07T05:49:07Z
안전발판,Y,2호선,0247,도림천,234-1,20241231,0261102441,2026-08-07T05:49:07Z
안전발판,Y,2호선,0248,양천구청,234-2,20241231,0261102451,2026-08-07T05:49:07Z
안전발판,Y,2호선,0249,신정네거리,234-3,20241231,0261102461,2026-08-07T05:49:07Z
안전발판,Y,2호선,0250,용두,211-3,20241231,0261101361,2026-08-07T05:49:07Z
안전발판,Y,3호선,0309,지축,319,20241231,0261103191,2026-08-07T05:49:07Z
안전발판,Y,3호선,0310,구파발,320,20241231,0261103201,2026-08-07T05:49:07Z
안전발판,Y,3호선,0311,연신내,321,20241231,0261103211,2026-08-07T05:49:07Z
안전발판,Y,3호선,0312,불광,322,20241231,0261103221,2026-08-07T05:49:07Z
안전발판,Y,3호선,0313,녹번,323,20241231,0261103231,2026-08-07T05:49:07Z
안전발판,Y,3호선,0314,홍제,324,20241231,0261103241,2026-08-07T05:49:07Z
안전발판,Y,3호선,0315,무악재,325,20241231,0261103251,2026-08-07T05:49:07Z
안전발판,Y,3호선,0316,독립문,326,20241231,0261103261,2026-08-07T05:49:07Z
안전발판,Y,3호선,0317,경복궁,327,20241231,0261103271,2026-08-07T05:49:07Z
안전발판,Y,3호선,0318,안국,328,20241231,0261103281,2026-08-07T05:49:07Z
안전발판,Y,3호선,0319,종로3가,329,20241231,0261103291,2026-08-07T05:49:07Z
안전발판,Y,3호선,0320,을지로3가,330,20241231,0261103301,2026-08-07T05:49:07Z
안전발판,Y,3호선,0321,충무로,331,20241231,0261104231,2026-08-07T05:49:07Z
안전발판,Y,3호선,0322,동대입구,332,20241231,0261103321,2026-08-07T05:49:07Z
안전발판,Y,3호선,0323,약수,333,20241231,0261103331,2026-08-07T05:49:07Z
안전발판,Y,3호선,0324,금호,334,20241231,0261103341,2026-08-07T05:49:07Z
안전발판,Y,3호선,0325,옥수,335,20241231,0261103351,2026-08-07T05:49:07Z
안전발판,Y,3호선,0326,압구정,336,20241231,0261103361,2026-08-07T05:49:07Z
안전발판,Y,3호선,0327,신사,337,20241231,0261103371,2026-08-07T05:49:07Z
안전발판,Y,3호선,0328,잠원,338,20241231,0261103381,2026-08-07T05:49:07Z
안전발판,Y,3호선,0329,고속터미널,339,20241231,0261103391,2026-08-07T05:49:07Z
안전발판,Y,3호선,0330,교대,340,20241231,0261103401,2026-08-07T05:49:07Z
안전발판,Y,3호선,0331,남부터미널,341,20241231,0261103411,2026-08-07T05:49:07Z
안전발판,Y,3호선,0332,양재,342,20241231,0261103421,2026-08-07T05:49:07Z
안전발판,Y,3호선,0333,매봉,343,20241231,0261103431,2026-08-07T05:49:07Z
안전발판,Y,3호선,0334,도곡,344,20241231,0261103441,2026-08-07T05:49:07Z
안전발판,Y,3호선,0335,대치,345,20241231,0261103451,2026-08-07T05:49:07Z
안전발판,Y,3호선,0336,학여울,346,20241231,0261103461,2026-08-07T05:49:07Z
안전발판,Y,3호선,0337,대청,347,20241231,0261103471,2026-08-07T05:49:07Z
안전발판,Y,3호선,0338,일원,348,20241231,0261103481,2026-08-07T05:49:07Z
안전발판,Y,3호선,0339,수서,349,20241231,0261103491,2026-08-07T05:49:07Z
안전발판,Y,3호선,0340,가락시장,350,20241231,0261103501,2026-08-07T05:49:07Z
안전발판,Y,3호선,0341,경찰병원,351,20241231,0261103511,2026-08-07T05:49:07Z
안전발판,Y,3호선,0342,오금,352,20241231,0261103521,2026-08-07T05:49:07Z
안전발판,Y,4호선,0409,당고개,409,20241231,0261104091,2026-08-07T05:49:07Z
안전발판,Y,4호선,0410,상계,410,20241231,0261104101,2026-08-07T05:49:07Z
안전발판,Y,4호선,0411,노원,411,20241231,0261104111,2026-08-07T05:49:07Z
안전발판,Y,4호선,0412,창동,412,20241231,0261104121,2026-08-07T05:49:07Z
안전발판,Y,4호선,0413,쌍문,413,20241231,0261104131,2026-08-07T05:49:07Z
안전발판,Y,4호선,0414,수유,414,20241231,0261104141,2026-08-07T05:49:07Z
안전발판,Y,4호선,0415,미아,415,20241231,0261104151,2026-08-07T05:49:07Z
안전발판,Y,4호선,0416,미아사거리,416,20241231,0261104161,2026-08-07T05:49:07Z
안전발판,Y,4호선,0417,길음,417,20241231,0261104171,2026-08-07T05:49:07Z
안전발판,Y,4호선,0418,성신여대입구,418,20241231,0261104181,2026-08-07T05:49:07Z
안전발판,Y,4호선,0419,한성대입구,419,20241231,0261104191,2026-08-07T05:49:07Z
안전발판,Y,4호선,0420,혜화,420,20241231,0261104201,2026-08-07T05:49:07Z
안전발판,Y,4호선,0421,동대문,421,20241231,0261104211,2026-08-07T05:49:07Z
안전발판,Y,4호선,0422,동대문역사문화공원,422,20241231,0261104221,2026-08-07T05:49:07Z
안전발판,Y,4호선,0423,충무로,423,20241231,0261104231,2026-08-07T05:49:07Z
안전발판,Y,4호선,0424,명동,424,20241231,0261104241,2026-08-07T05:49:07Z
안전발판,Y,4호선,0425,회현,425,20241231,0261104251,2026-08-07T05:49:07Z
안전발판,Y,4호선,0426,서울역,426,20241231,0261104261,2026-08-07T05:49:07Z
안전발판,Y,4호선,0427,숙대입구,427,20241231,0261104271,2026-08-07T05:49:07Z
안전발판,Y,4호선,0428,삼각지,428,20241231,0261104281,2026-08-07T05:49:07Z
안전발판,Y,4호선,0429,신용산,429,20241231,0261104291,2026-08-07T05:49:07Z
안전발판,Y,4호선,0430,이촌,430,20241231,0261104301,2026-08-07T05:49:07Z
안전발판,Y,4호선,0431,동작,431,20241231,0261104311,2026-08-07T05:49:07Z
안전발판,Y,4호선,0432,총신대입구,432,20241231,0261104321,2026-08-07T05:49:07Z
안전발판,Y,4호선,0433,사당,433,20241231,0261104331,2026-08-07T05:49:07Z
안전발판,Y,4호선,0434,남태령,434,20241231,0261104341,2026-08-07T05:49:07Z
안전발판,Y,5호선,2511,방화,510,20241231,0263115101,2026-08-07T05:49:07Z
안전발판,Y,5호선,2512,개화산,511,20241231,0263115111,2026-08-07T05:49:07Z
안전발판,Y,5호선,2513,김포공항,512,20241231,0263115121,2026-08-07T05:49:07Z
안전발판,Y,5호선,2514,송정,513,20241231,0263115131,2026-08-07T05:49:07Z
안전발판,N,5호선,2515,마곡,514,20241231,0263115141,2026-08-07T05:49:07Z
안전발판,Y,5호선,2516,발산,515,20241231,0263115151,2026-08-07T05:49:07Z
안전발판,Y,5호선,2517,우장산,516,20241231,0263115161,2026-08-07T05:49:07Z
안전발판,Y,5호선,2518,화곡,517,20241231,0263115171,2026-08-07T05:49:07Z
안전발판,N,5호선,2519,까치산,518,20241231,0263115181,2026-08-07T05:49:07Z
안전발판,Y,5호선,2520,신정,519,20241231,0263115191,2026-08-07T05:49:07Z
안전발판,Y,5호선,2521,목동,520,20241231,0263115201,2026-08-07T05:49:07Z
안전발판,Y,5호선,2522,오목교,521,20241231,0263115211,2026-08-07T05:49:07Z
안전발판,Y,5호선,2523,양평,522,20241231,0263115221,2026-08-07T05:49:07Z
안전발판,Y,5호선,2524,영등포구청,523,20241231,0263115231,2026-08-07T05:49:07Z
안전발판,Y,5호선,2525,영등포시장,524,20241231,0263115241,2026-08-07T05:49:07Z
안전발판,Y,5호선,2526,신길,525,20241231,0263115251,2026-08-07T05:49:07Z
안전발판,Y,5호선,2527,여의도,526,20241231,0263115261,2026-08-07T05:49:07Z
안전발판,Y,5호선,2528,여의나루,527,20241231,0263115271,2026-08-07T05:49:07Z
