stnCd,fcltNm,lineNm,stnNm,stnNo,crtrYmd,dtlPstn,vcntEntrcNo,stnFlr,grndUdgdSe,utztnHr,collected_at
0150,수어영상전화기,1호선,서울역,133,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0151,수어영상전화기,1호선,시청,132,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0153,수어영상전화기,1호선,종로3가,130,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0158,수어영상전화기,1호선,청량리,124,20250531,고객안전실,-,B2,지하,05:00~00:00,2026-08-07T05:49:09Z
0201,수어영상전화기,2호선,시청,201,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0205,수어영상전화기,2호선,동대문역사문화공원,205,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0208,수어영상전화기,2호선,왕십리,208,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0212,수어영상전화기,2호선,건대입구,212,20250531,고객안전실,-,2,지상,05:00~00:00,2026-08-07T05:49:09Z
0216,수어영상전화기,2호선,잠실,216,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0218,수어영상전화기,2호선,종합운동장,218,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0220,수어영상전화기,2호선,선릉,220,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0222,수어영상전화기,2호선,강남,222,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0223,수어영상전화기,2호선,교대,223,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0226,수어영상전화기,2호선,사당,226,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0234,수어영상전화기,2호선,신도림,234,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0236,수어영상전화기,2호선,영등포구청,236,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0239,수어영상전화기,2호선,홍대입구,239,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0319,수어영상전화기,3호선,종로3가,329,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0323,수어영상전화기,3호선,약수,333,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0329,수어영상전화기,3호선,고속터미널,339,20250531,고객안전실,-,B2,지하,05:00~00:00,2026-08-07T05:49:09Z
0330,수어영상전화기,3호선,교대,340,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0332,수어영상전화기,3호선,양재,342,20250531,고객안전실,-,B1,지하,05:00~00:00,2026-08-07T05:49:09Z
0411,수어영상전화기,4호선,노원,411,20250531,고객안전실,-,2,지상,05:00~00:00,2026-08-07T05:49:09Z
