are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,facility_cd,facility_nm,grnd_dv_cd,grnd_dv_nm,stin_flor,floor_label,detail_location,trfc_weak_dv_cd,trfc_weak_dv_nm,ml_fml_dv_cd,ml_fml_dv_nm
01,수도권,KR,1,1호선,1370,연천,EV,일반승강기,1,지상,2,지상 2층,"[5호기]1,2번출입구",,,,
01,수도권,KR,1,1호선,1370,연천,EV,일반승강기,1,지상,2,지상 2층,[3호기]전철승강장5-1,,,,
01,수도권,KR,1,1호선,1370,연천,EV,일반승강기,1,지상,2,지상 2층,[2호기]4번출입구,,,,
01,수도권,KR,1,1호선,1370,연천,EV,일반승강기,1,지상,2,지상 2층,[1호기]3번출입구,,,,
01,수도권,KR,1,1호선,1370,연천,EV,일반승강기,1,지상,2,지상 2층,[4호기]승강장위치없음(저상홈),,,,
01,수도권,KR,1,1호선,1370,연천,TOLT,일반화장실(남),1,지상,2,지상 2층,4번 출입구 앞,1,일반,1,남
01,수도권,KR,1,1호선,1370,연천,TOLT,일반화장실(여),1,지상,2,지상 2층,4번 출입구 앞,1,일반,2,여
01,수도권,KR,1,1호선,1370,연천,TOLT,장애인화장실(남),1,지상,2,지상 2층,4번 출입구 앞,2,장애인,1,남
01,수도권,KR,1,1호선,1370,연천,TOLT,장애인화장실(여),1,지상,2,지상 2층,4번 출입구 앞,2,장애인,2,여
01,수도권,KR,1,1호선,1370,연천,INFO,고객센터,1,지상,2,지상 2층,2층 3번출구 자동발매기 우측,,,,
01,수도권,KR,1,1호선,1370,연천,LARM,수유실,1,지상,2,지상 2층,(2F) 고객화장실 방향 통로,,,,
01,수도권,KR,1,1호선,1370,연천,EV,일반승강기,1,지상,1,지상 1층,[4호기]승강장위치없음(저상홈),,,,
01,수도권,KR,1,1호선,1370,연천,EV,일반승강기,1,지상,1,지상 1층,[3호기]전철승강장5-1,,,,
01,수도권,KR,1,1호선,1370,연천,EV,일반승강기,1,지상,1,지상 1층,[2호기]4번출입구,,,,
01,수도권,KR,1,1호선,1370,연천,EV,일반승강기,1,지상,1,지상 1층,[1호기]3번출입구,,,,
01,수도권,KR,1,1호선,1370,연천,EV,일반승강기,1,지상,1,지상 1층,"[5호기]1,2번출입구",,,,
01,수도권,KR,1,1호선,1369,전곡,EV,일반승강기,1,지상,3,지상 3층,"[3호기](1F)연천역방향승강장5-4,청산역방향승강장6-1출입문앞,(3F)표내는곳내5,6호기에스컬레이터앞",,,,
01,수도권,KR,1,1호선,1369,전곡,EV,일반승강기,1,지상,3,지상 3층,[4호기](1F)1번출입구근처옆(3F)대합실내역무실옆,,,,
01,수도권,KR,1,1호선,1369,전곡,EV,일반승강기,1,지상,3,지상 3층,[2호기](1F)1번출입구근처옆(3F)대합실내역무실옆,,,,
01,수도권,KR,1,1호선,1369,전곡,EV,일반승강기,1,지상,3,지상 3층,"[1호기](1F)1번출입구근처(3F)1번출입구,연결통로,대합실입구",,,,
01,수도권,KR,1,1호선,1369,전곡,TOLT,일반화장실(남),1,지상,3,지상 3층,(3F) 대합실 내,1,일반,1,남
01,수도권,KR,1,1호선,1369,전곡,TOLT,일반화장실(여),1,지상,3,지상 3층,(3F) 대합실 내,1,일반,2,여
01,수도권,KR,1,1호선,1369,전곡,TOLT,장애인화장실(남),1,지상,3,지상 3층,(3F) 대합실 내,2,장애인,1,남
01,수도권,KR,1,1호선,1369,전곡,TOLT,장애인화장실(여),1,지상,3,지상 3층,(3F) 대합실 내,2,장애인,2,여
01,수도권,KR,1,1호선,1369,전곡,INFO,고객센터,1,지상,3,지상 3층,(3F) 1번 출입구 방향 대합실 내,,,,
01,수도권,KR,1,1호선,1369,전곡,LARM,수유실,1,지상,3,지상 3층,(3F)대합실 내 역무실 옆,,,,
01,수도권,KR,1,1호선,1369,전곡,EV,일반승강기,1,지상,1,지상 1층,"[1호기](1F)1번출입구근처(3F)1번출입구,연결통로,대합실입구",,,,
01,수도권,KR,1,1호선,1369,전곡,EV,일반승강기,1,지상,1,지상 1층,[4호기](1F)1번출입구근처옆(3F)대합실내역무실옆,,,,
01,수도권,KR,1,1호선,1369,전곡,EV,일반승강기,1,지상,1,지상 1층,"[3호기](1F)연천역방향승강장5-4,청산역방향승강장6-1출입문앞,(3F)표내는곳내5,6호기에스컬레이터앞",,,,
01,수도권,KR,1,1호선,1369,전곡,EV,일반승강기,1,지상,1,지상 1층,[2호기](1F)1번출입구근처옆(3F)대합실내역무실옆,,,,
01,수도권,KR,1,1호선,1368,청산,EV,일반승강기,1,지상,2,지상 2층,"[1호기](1F)게이트안,(2F)하행승강장5-4",,,,
01,수도권,KR,1,1호선,1368,청산,EV,일반승강기,1,지상,2,지상 2층,"[2호기](1F)게이트안,(2F)상행승강장5-4",,,,
01,수도권,KR,1,1호선,1368,청산,EV,일반승강기,1,지상,1,지상 1층,"[1호기](1F)게이트안,(2F)하행승강장5-4",,,,
01,수도권,KR,1,1호선,1368,청산,EV,일반승강기,1,지상,1,지상 1층,"[2호기](1F)게이트안,(2F)상행승강장5-4",,,,
01,수도권,KR,1,1호선,1368,청산,TOLT,일반화장실(남),1,지상,1,지상 1층,1층 2번 출입구 방향,1,일반,1,남
01,수도권,KR,1,1호선,1368,청산,TOLT,일반화장실(여),1,지상,1,지상 1층,1층 2번 출입구 방향,1,일반,2,여
01,수도권,KR,1,1호선,1368,청산,TOLT,장애인화장실(남),1,지상,1,지상 1층,1층 2번 출입구 방향,2,장애인,1,남
01,수도권,KR,1,1호선,1368,청산,TOLT,장애인화장실(여),1,지상,1,지상 1층,1층 2번 출입구 방향,2,장애인,2,여
