station_id,ln_nm,stin_nm,source,floor_notation,corroborated,from_floor,to_floor,floor_span,direction,conveyance,conveyance_nm,label
KR_1_1370,1호선,연천,move_path,inline,1,1F,2F,1,up,EV,엘리베이터,"1,2번 출입구 지상1층 엘리베이터"
KR_1_1370,1호선,연천,move_path,inline,0,3F,1F,2,down,EV,엘리베이터,인천(전곡)방면 지상3층 엘리베이터
KR_1_1370,1호선,연천,move_path,inline,1,1F,2F,1,up,EV,엘리베이터,3번 출입구 지상1층 엘리베이터
KR_1_1370,1호선,연천,move_path,inline,1,1F,2F,1,up,EV,엘리베이터,4번 출입구 지상1층 엘리베이터
KR_1_1370,1호선,연천,facility_span,,1,2F,1F,1,down,EV,엘리베이터,"[5호기]1,2번출입구"
KR_1_1370,1호선,연천,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[3호기]전철승강장5-1
KR_1_1370,1호선,연천,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[2호기]4번출입구
KR_1_1370,1호선,연천,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[1호기]3번출입구
KR_1_1370,1호선,연천,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[4호기]승강장위치없음(저상홈)
KR_1_1369,1호선,전곡,move_path,inline,1,3F,1F,2,down,EV,엘리베이터,1번 출입구 옆 엘리베이터
KR_1_1369,1호선,전곡,move_path,inline,1,3F,1F,2,down,EV,엘리베이터,2/3번 출입구 옆 엘리베이터
KR_1_1369,1호선,전곡,facility_span,,1,3F,1F,2,down,EV,엘리베이터,"[3호기](1F)연천역방향승강장5-4,청산역방향승강장6-1출입문앞,(3F)표내는곳내5,6호기에스컬레이터앞"
KR_1_1369,1호선,전곡,facility_span,,1,3F,1F,2,down,EV,엘리베이터,[4호기](1F)1번출입구근처옆(3F)대합실내역무실옆
KR_1_1369,1호선,전곡,facility_span,,1,3F,1F,2,down,EV,엘리베이터,[2호기](1F)1번출입구근처옆(3F)대합실내역무실옆
KR_1_1369,1호선,전곡,facility_span,,1,3F,1F,2,down,EV,엘리베이터,"[1호기](1F)1번출입구근처(3F)1번출입구,연결통로,대합실입구"
KR_1_1368,1호선,청산,facility_span,,1,2F,1F,1,down,EV,엘리베이터,"[1호기](1F)게이트안,(2F)하행승강장5-4"
KR_1_1368,1호선,청산,facility_span,,1,2F,1F,1,down,EV,엘리베이터,"[2호기](1F)게이트안,(2F)상행승강장5-4"
KR_1_0324,1호선,소요산,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[1호기](1F)맞이방이동통로3-4출입문앞
KR_1_0158,1호선,동두천,move_path,paren,1,1F,3F,2,up,EV,엘리베이터,1번 출입구 옆 엘리베이터
KR_1_0158,1호선,동두천,move_path,paren,1,3F,1F,2,down,EV,엘리베이터,소요산 방면 엘리베이터
KR_1_0158,1호선,동두천,move_path,paren,1,3F,1F,2,down,EV,엘리베이터,보산 방면 엘리베이터
KR_1_0158,1호선,동두천,move_path,paren,1,1F,3F,2,up,EV,엘리베이터,2번 출입구 옆 엘리베이터
KR_1_0158,1호선,동두천,facility_span,,1,3F,1F,2,down,EV,엘리베이터,[5호기](1F)2번출입구방향
KR_1_0158,1호선,동두천,facility_span,,1,3F,1F,2,down,EV,엘리베이터,"[2호기](1F)1,2번승강장6-3"
KR_1_0158,1호선,동두천,facility_span,,1,3F,1F,2,down,EV,엘리베이터,"[3호기](1F)3,4번승강장5-3"
KR_1_0158,1호선,동두천,facility_span,,1,3F,1F,2,down,EV,엘리베이터,"[4호기](1F)저상홈7번,8번승강장중간"
KR_1_0158,1호선,동두천,facility_span,,1,3F,1F,2,down,EV,엘리베이터,[1호기](1F)1번출입구방향
KR_1_0235,1호선,보산,move_path,paren,1,1F,3F,2,up,EV,엘리베이터,동두천 방면 엘리베이터
KR_1_0235,1호선,보산,move_path,paren,1,1F,3F,2,up,EV,엘리베이터,동두천중앙 방면 엘리베이터
KR_1_0235,1호선,보산,facility_span,,1,3F,1F,2,down,EV,엘리베이터,[2호기](1F)1번출입구앞(2F)맞이방통로앞(3F)소요산행승강장
KR_1_0235,1호선,보산,facility_span,,1,3F,1F,2,down,EV,엘리베이터,[1호기](1F)2번출입구앞(2F)맞이방화장실앞(3F)인천행승강장
KR_1_0159,1호선,동두천중앙,facility_span,,1,3F,1F,2,down,EV,엘리베이터,[2호기](1F)4번출입구방향
KR_1_0159,1호선,동두천중앙,facility_span,,1,3F,1F,2,down,EV,엘리베이터,[1호기](1F)4번출입구방향
KR_1_0538,1호선,지행,move_path,paren,1,1F,2F,1,up,EV,엘리베이터,동두천중앙 방면 엘리베이터(2호기)
KR_1_0538,1호선,지행,move_path,paren,1,1F,2F,1,up,EV,엘리베이터,덕정 방면 엘리베이터(1호기)
KR_1_0538,1호선,지행,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[1호기]4번출구옆
KR_1_0538,1호선,지행,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[2호기]1번출구옆
KR_1_0141,1호선,덕정,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[2호기]1F(1번출입구방향)2F(지행역방향승강장5-3출입문앞)
KR_1_0141,1호선,덕정,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[1호기]1F(1번출입구방향)2F(덕계역방향승강장4-2출입문앞)
KR_1_0139,1호선,덕계,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[1호기](1F)개집표구를지나왼쪽(2F)소요산방면승강장5-3출입문앞
KR_1_0139,1호선,덕계,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[2호기](1F)개집표구를지나왼쪽(2F)인천방면승강장6-2출입문앞
KR_1_0403,1호선,양주,move_path,paren,1,1F,2F,1,up,EV,엘리베이터,덕계 방면 엘리베이터
KR_1_0403,1호선,양주,move_path,paren,1,1F,2F,1,up,EV,엘리베이터,녹양 방면 엘리베이터
KR_1_0403,1호선,양주,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[1호기](1F)표내는곳(2F)상행승강장
KR_1_0403,1호선,양주,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[2호기](1F)표내는곳(2F)하행승강장
KR_1_0118,1호선,녹양,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[1호기](1F)남부게이트옆
KR_1_0118,1호선,녹양,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[2호기](1F)남부소요산계단옆
KR_1_0002,1호선,가능,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[1호기](1F)하행방면남쪽게이트-(2F)녹양역방향승강장6-4출입문앞
KR_1_0002,1호선,가능,facility_span,,1,2F,1F,1,down,EV,엘리베이터,[2호기](1F)상행방면남쪽게이트-(2F)의정부역방향승강장5-1출입문앞
KR_1_0470,1호선,의정부,move_path,paren,1,1F,3F,2,up,EV,엘리베이터,1번 출입구 옆 엘리베이터
KR_1_0470,1호선,의정부,move_path,paren,1,3F,1F,2,down,EV,엘리베이터,가능 방면 엘리베이터
