are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,tel_no
01,수도권,KR,1,1호선,1370,연천,031-834-7561
01,수도권,KR,1,1호선,1369,전곡,031-832-7778
01,수도권,KR,1,1호선,1368,청산,031-835-7789
01,수도권,KR,1,1호선,0324,소요산,031-865-7788
01,수도권,KR,1,1호선,0158,동두천,031-862-7788
01,수도권,KR,1,1호선,0235,보산,031-866-4987
01,수도권,KR,1,1호선,0159,동두천중앙,031-865-2788
01,수도권,KR,1,1호선,0538,지행,031-862-2788
01,수도권,KR,1,1호선,0141,덕정,031-858-2788
01,수도권,KR,1,1호선,0139,덕계,031-866-6792
01,수도권,KR,1,1호선,0403,양주,031-841-7787
01,수도권,KR,1,1호선,0118,녹양,031-878-5769
01,수도권,KR,1,1호선,0002,가능,031-842-7788
01,수도권,KR,1,1호선,0470,의정부,031-872-7788
01,수도권,KR,1,1호선,0606,회룡,031-872-7744
01,수도권,KR,1,1호선,0190,망월사,031-873-7788
01,수도권,KR,1,1호선,0146,도봉산,02-955-7345
01,수도권,KR,1,1호선,0145,도봉,02-3493-8874
01,수도권,KR,1,1호선,0145,도봉,02-3492-8874
01,수도권,KR,1,1호선,0220,방학,02-3492-0197
01,수도권,KR,1,1호선,0119,녹천,02-905-0182
01,수도권,KR,1,1호선,0459,월계,02-900-4822
01,수도권,KR,1,1호선,0065,광운대,02-917-7445
01,수도권,KR,1,1호선,0300,석계,02-943-7788
01,수도권,KR,1,1호선,0371,신이문,02-960-1871
01,수도권,KR,1,1호선,0442,외대앞,02-966-6705
01,수도권,KR,1,1호선,0604,회기,02-967-1467
01,수도권,S1,1,1호선,0552,청량리,02-6110-1241
01,수도권,S1,1,1호선,0512,제기동,02-6110-1251
01,수도권,S1,1,1호선,0367,신설동,02-6110-1261
01,수도권,S1,1,1호선,0161,동묘앞,02-6110-1271
01,수도권,S1,1,1호선,0155,동대문,02-6110-1281
01,수도권,S1,1,1호선,0517,종로5가,02-6110-1291
01,수도권,S1,1,1호선,0515,종로3가,02-6110-1301
01,수도권,S1,1,1호선,0514,종각,02-6110-1311
01,수도권,S1,1,1호선,0347,시청,02-6110-1321
01,수도권,S1,1,1호선,0296,서울역,02-6110-1331
01,수도권,KR,1,1호선,0108,남영,02-1544-7788
01,수도권,KR,1,1호선,0447,용산,02-798-6628
01,수도권,KR,1,1호선,0069,구로,02-2639-3259
01,수도권,KR,1,1호선,0077,구일,02-865-6190
01,수도권,KR,1,1호선,0077,구일,02-865-7688
01,수도권,KR,1,1호선,0026,개봉,02-2639-3297
01,수도권,KR,1,1호선,0427,오류동,02-2639-3417
01,수도권,KR,1,1호선,0435,온수,02-2639-3461
01,수도권,KR,1,1호선,0414,역곡,02-2639-3434
01,수도권,KR,1,1호선,0323,소사,02-2639-3242
01,수도권,KR,1,1호선,0246,부천,032-665-7775
01,수도권,KR,1,1호선,0526,중동,032-666-7788
01,수도권,KR,1,1호선,0327,송내,032-662-7788
01,수도권,KR,1,1호선,0244,부개,032-517-7788
