are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,mv_path_dv_cd,mv_path_dv_nm,mg_no,step_no,step_text
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,1,1,"1) 1,2번 출입구 지상1층 엘리베이터 탑승"
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,1,2,2) 지상2층 엘리베이터 하차
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,1,3,3) 표 내는 곳 통과
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,1,4,4) 인천(전곡)방면 지상3층 엘리베이터 탑승
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,1,5,5) 인천(전곡)방면 지상1층 승강장 엘리베이터 하차
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,1,6,6) 전곡방면 승강장 이동
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,2,1,1) 3번 출입구 지상1층 엘리베이터 탑승
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,2,2,2) 지상2층 엘리베이터 하차
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,2,3,3) 표 내는 곳 통과
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,2,4,4) 인천(전곡)방면 지상3층 엘리베이터 탑승
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,2,5,5) 인천(전곡)방면 지상1층 승강장 엘리베이터 하차
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,2,6,6) 전곡방면 승강장 이동
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,3,1,1) 4번 출입구 지상1층 엘리베이터 탑승
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,3,2,2) 지상2층 엘리베이터 하차
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,3,3,3) 표 내는 곳 통과
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,3,4,4) 인천(전곡)방면 지상3층 엘리베이터 탑승
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,3,5,5) 인천(전곡)방면 지상1층 승강장 엘리베이터 하차
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,3,6,6) 전곡방면 승강장 이동
01,수도권,KR,1,1호선,1369,전곡,1,출입구-승강장,1,1,1) 1번 출입구 옆 엘리베이터 탑승
01,수도권,KR,1,1호선,1369,전곡,1,출입구-승강장,1,2,2) 1번 출입구 옆 엘리베이터 대합실
01,수도권,KR,1,1호선,1369,전곡,1,출입구-승강장,1,3,3) 표 내는 곳 통과
