are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,mv_path_dv_cd,mv_path_dv_nm,mg_no,start_point,end_point,path_label
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,1,"1,2번 출입구 엘리베이터",전곡방면 승강장,"1,2번 출입구 엘리베이터 → 전곡방면 승강장"
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,2,3번 출입구 엘리베이터,전곡방면 승강장,3번 출입구 엘리베이터 → 전곡방면 승강장
01,수도권,KR,1,1호선,1370,연천,1,출입구-승강장,3,4번 출입구 엘리베이터,전곡방면 승강장,4번 출입구 엘리베이터 → 전곡방면 승강장
01,수도권,KR,1,1호선,1369,전곡,1,출입구-승강장,1,1번출입구 옆 엘리베이터,청산,1번출입구 옆 엘리베이터 → 청산
01,수도권,KR,1,1호선,1369,전곡,1,출입구-승강장,2,1번출입구 옆 엘리베이터,연천,1번출입구 옆 엘리베이터 → 연천
01,수도권,KR,1,1호선,1369,전곡,1,출입구-승강장,3,2/3번출입구 옆 엘리베이터,청산,2/3번출입구 옆 엘리베이터 → 청산
01,수도권,KR,1,1호선,1369,전곡,1,출입구-승강장,4,2/3번출입구 옆 엘리베이터,연천,2/3번출입구 옆 엘리베이터 → 연천
01,수도권,KR,1,1호선,1368,청산,1,출입구-승강장,1,1번출입구 옆 엘리베이터,소요산,1번출입구 옆 엘리베이터 → 소요산
01,수도권,KR,1,1호선,1368,청산,1,출입구-승강장,2,1번출입구 옆 엘리베이터,전곡,1번출입구 옆 엘리베이터 → 전곡
01,수도권,KR,1,1호선,1368,청산,1,출입구-승강장,3,2번출입구 옆 엘리베이터,소요산,2번출입구 옆 엘리베이터 → 소요산
01,수도권,KR,1,1호선,1368,청산,1,출입구-승강장,4,2번출입구 옆 엘리베이터,전곡,2번출입구 옆 엘리베이터 → 전곡
01,수도권,KR,1,1호선,0324,소요산,1,출입구-승강장,1,1번 출입구,동두천 방면 승강장,1번 출입구 → 동두천 방면 승강장
01,수도권,KR,1,1호선,0324,소요산,1,출입구-승강장,2,1번 출입구,청산방면 승강장,1번 출입구 → 청산방면 승강장
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,1,1번 출입구 옆 엘리베이터,소요산 방면 승강장,1번 출입구 옆 엘리베이터 → 소요산 방면 승강장
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,2,1번 출입구 옆 엘리베이터,보산 방면 승강장,1번 출입구 옆 엘리베이터 → 보산 방면 승강장
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,3,2번 출입구 옆 엘리베이터,소요산 방면 승강장,2번 출입구 옆 엘리베이터 → 소요산 방면 승강장
01,수도권,KR,1,1호선,0158,동두천,1,출입구-승강장,4,2번 출입구 옆 엘리베이터,보산 방면 승강장,2번 출입구 옆 엘리베이터 → 보산 방면 승강장
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,1,1번 출입구,동두천 방면 승강장,1번 출입구 → 동두천 방면 승강장
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,2,1번 출입구,동두천중앙 방면 승강장,1번 출입구 → 동두천중앙 방면 승강장
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,3,2번 출입구,동두천 방면 승강장,2번 출입구 → 동두천 방면 승강장
01,수도권,KR,1,1호선,0235,보산,1,출입구-승강장,4,2번 출입구,동두천중앙 방면 승강장,2번 출입구 → 동두천중앙 방면 승강장
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,1,1번 출입구,보산 방면,1번 출입구 → 보산 방면
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,2,2번 출입구,보산 방면,2번 출입구 → 보산 방면
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,3,3번 출입구,보산 방면,3번 출입구 → 보산 방면
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,4,4번 출입구,보산 방면,4번 출입구 → 보산 방면
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,5,1번 출입구,지행 방면,1번 출입구 → 지행 방면
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,6,2번 출입구,지행 방면,2번 출입구 → 지행 방면
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,7,3번 출입구,지행 방면,3번 출입구 → 지행 방면
01,수도권,KR,1,1호선,0159,동두천중앙,1,출입구-승강장,8,4번 출입구,지행 방면,4번 출입구 → 지행 방면
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,1,1번 출입구,동두천중앙 방면,1번 출입구 → 동두천중앙 방면
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,2,1번 출입구,덕정 방면,1번 출입구 → 덕정 방면
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,3,4번 출입구,동두천중앙 방면,4번 출입구 → 동두천중앙 방면
01,수도권,KR,1,1호선,0538,지행,1,출입구-승강장,4,4번 출입구,덕정 방면,4번 출입구 → 덕정 방면
01,수도권,KR,1,1호선,0141,덕정,1,출입구-승강장,1,1번 출입구,지행 방면,1번 출입구 → 지행 방면
01,수도권,KR,1,1호선,0141,덕정,1,출입구-승강장,2,1번 출입구,덕계 방면,1번 출입구 → 덕계 방면
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,1,1번 출입구,덕정 방면,1번 출입구 → 덕정 방면
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,2,2번 출입구,덕정 방면,2번 출입구 → 덕정 방면
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,3,1번 출입구,양주 방면,1번 출입구 → 양주 방면
01,수도권,KR,1,1호선,0139,덕계,1,출입구-승강장,4,2번 출입구,양주 방면,2번 출입구 → 양주 방면
01,수도권,KR,1,1호선,0403,양주,1,출입구-승강장,1,1번 출입구,덕계 방면,1번 출입구 → 덕계 방면
