are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,plf_no,car_ordr,door_cnt
01,수도권,KR,1,1호선,1370,연천,1,1,4
01,수도권,KR,1,1호선,1370,연천,1,2,4
01,수도권,KR,1,1호선,1370,연천,1,3,4
01,수도권,KR,1,1호선,1370,연천,1,4,4
01,수도권,KR,1,1호선,1370,연천,1,5,4
01,수도권,KR,1,1호선,1370,연천,1,6,4
01,수도권,KR,1,1호선,1370,연천,1,7,4
01,수도권,KR,1,1호선,1370,연천,1,8,4
01,수도권,KR,1,1호선,1370,연천,1,9,4
01,수도권,KR,1,1호선,1370,연천,1,10,4
01,수도권,KR,1,1호선,1370,연천,2,1,4
01,수도권,KR,1,1호선,1370,연천,2,2,4
01,수도권,KR,1,1호선,1370,연천,2,3,4
01,수도권,KR,1,1호선,1370,연천,2,4,4
01,수도권,KR,1,1호선,1370,연천,2,5,4
01,수도권,KR,1,1호선,1370,연천,2,6,4
01,수도권,KR,1,1호선,1370,연천,2,7,4
01,수도권,KR,1,1호선,1370,연천,2,8,4
01,수도권,KR,1,1호선,1370,연천,2,9,4
01,수도권,KR,1,1호선,1370,연천,2,10,4
01,수도권,KR,1,1호선,1369,전곡,1,1,4
01,수도권,KR,1,1호선,1369,전곡,1,2,4
01,수도권,KR,1,1호선,1369,전곡,1,3,4
01,수도권,KR,1,1호선,1369,전곡,1,4,4
01,수도권,KR,1,1호선,1369,전곡,1,5,4
01,수도권,KR,1,1호선,1369,전곡,1,6,4
01,수도권,KR,1,1호선,1369,전곡,1,7,4
01,수도권,KR,1,1호선,1369,전곡,1,8,4
01,수도권,KR,1,1호선,1369,전곡,1,9,4
01,수도권,KR,1,1호선,1369,전곡,1,10,4
01,수도권,KR,1,1호선,1369,전곡,2,1,4
01,수도권,KR,1,1호선,1369,전곡,2,2,4
01,수도권,KR,1,1호선,1369,전곡,2,3,4
01,수도권,KR,1,1호선,1369,전곡,2,4,4
01,수도권,KR,1,1호선,1369,전곡,2,5,4
01,수도권,KR,1,1호선,1369,전곡,2,6,4
01,수도권,KR,1,1호선,1369,전곡,2,7,4
01,수도권,KR,1,1호선,1369,전곡,2,8,4
01,수도권,KR,1,1호선,1369,전곡,2,9,4
01,수도권,KR,1,1호선,1369,전곡,2,10,4
01,수도권,KR,1,1호선,1368,청산,1,1,4
01,수도권,KR,1,1호선,1368,청산,1,2,4
01,수도권,KR,1,1호선,1368,청산,1,3,4
01,수도권,KR,1,1호선,1368,청산,1,4,4
01,수도권,KR,1,1호선,1368,청산,1,5,4
01,수도권,KR,1,1호선,1368,청산,1,6,4
01,수도권,KR,1,1호선,1368,청산,1,7,4
01,수도권,KR,1,1호선,1368,청산,1,8,4
01,수도권,KR,1,1호선,1368,청산,1,9,4
01,수도권,KR,1,1호선,1368,청산,1,10,4
01,수도권,KR,1,1호선,1368,청산,2,1,4
01,수도권,KR,1,1호선,1368,청산,2,2,4
01,수도권,KR,1,1호선,1368,청산,2,3,4
01,수도권,KR,1,1호선,1368,청산,2,4,4
01,수도권,KR,1,1호선,1368,청산,2,5,4
01,수도권,KR,1,1호선,1368,청산,2,6,4
01,수도권,KR,1,1호선,1368,청산,2,7,4
01,수도권,KR,1,1호선,1368,청산,2,8,4
01,수도권,KR,1,1호선,1368,청산,2,9,4
01,수도권,KR,1,1호선,1368,청산,2,10,4
01,수도권,KR,1,1호선,0324,소요산,1,1,4
01,수도권,KR,1,1호선,0324,소요산,1,2,4
01,수도권,KR,1,1호선,0324,소요산,1,3,4
01,수도권,KR,1,1호선,0324,소요산,1,4,4
01,수도권,KR,1,1호선,0324,소요산,1,5,4
01,수도권,KR,1,1호선,0324,소요산,1,6,4
01,수도권,KR,1,1호선,0324,소요산,1,7,4
01,수도권,KR,1,1호선,0324,소요산,1,8,4
01,수도권,KR,1,1호선,0324,소요산,1,9,4
01,수도권,KR,1,1호선,0324,소요산,1,10,4
01,수도권,KR,1,1호선,0324,소요산,2,1,4
01,수도권,KR,1,1호선,0324,소요산,2,2,4
01,수도권,KR,1,1호선,0324,소요산,2,3,4
01,수도권,KR,1,1호선,0324,소요산,2,4,4
01,수도권,KR,1,1호선,0324,소요산,2,5,4
01,수도권,KR,1,1호선,0324,소요산,2,6,4
01,수도권,KR,1,1호선,0324,소요산,2,7,4
01,수도권,KR,1,1호선,0324,소요산,2,8,4
01,수도권,KR,1,1호선,0324,소요산,2,9,4
01,수도권,KR,1,1호선,0324,소요산,2,10,4
01,수도권,KR,1,1호선,0158,동두천,1,1,4
01,수도권,KR,1,1호선,0158,동두천,1,2,4
01,수도권,KR,1,1호선,0158,동두천,1,3,4
01,수도권,KR,1,1호선,0158,동두천,1,4,4
01,수도권,KR,1,1호선,0158,동두천,1,5,4
01,수도권,KR,1,1호선,0158,동두천,1,6,4
01,수도권,KR,1,1호선,0158,동두천,1,7,4
01,수도권,KR,1,1호선,0158,동두천,1,8,4
01,수도권,KR,1,1호선,0158,동두천,1,9,4
01,수도권,KR,1,1호선,0158,동두천,1,10,4
01,수도권,KR,1,1호선,0158,동두천,2,1,4
01,수도권,KR,1,1호선,0158,동두천,2,2,4
01,수도권,KR,1,1호선,0158,동두천,2,3,4
01,수도권,KR,1,1호선,0158,동두천,2,4,4
01,수도권,KR,1,1호선,0158,동두천,2,5,4
01,수도권,KR,1,1호선,0158,동두천,2,6,4
01,수도권,KR,1,1호선,0158,동두천,2,7,4
01,수도권,KR,1,1호선,0158,동두천,2,8,4
01,수도권,KR,1,1호선,0158,동두천,2,9,4
01,수도권,KR,1,1호선,0158,동두천,2,10,4
01,수도권,KR,1,1호선,0235,보산,1,1,4
01,수도권,KR,1,1호선,0235,보산,1,2,4
01,수도권,KR,1,1호선,0235,보산,1,3,4
01,수도권,KR,1,1호선,0235,보산,1,4,4
01,수도권,KR,1,1호선,0235,보산,1,5,4
01,수도권,KR,1,1호선,0235,보산,1,6,4
01,수도권,KR,1,1호선,0235,보산,1,7,4
01,수도권,KR,1,1호선,0235,보산,1,8,4
01,수도권,KR,1,1호선,0235,보산,1,9,4
01,수도권,KR,1,1호선,0235,보산,1,10,4
01,수도권,KR,1,1호선,0235,보산,2,1,4
01,수도권,KR,1,1호선,0235,보산,2,2,4
01,수도권,KR,1,1호선,0235,보산,2,3,4
01,수도권,KR,1,1호선,0235,보산,2,4,4
01,수도권,KR,1,1호선,0235,보산,2,5,4
01,수도권,KR,1,1호선,0235,보산,2,6,4
01,수도권,KR,1,1호선,0235,보산,2,7,4
01,수도권,KR,1,1호선,0235,보산,2,8,4
01,수도권,KR,1,1호선,0235,보산,2,9,4
01,수도권,KR,1,1호선,0235,보산,2,10,4
01,수도권,KR,1,1호선,0159,동두천중앙,1,1,4
01,수도권,KR,1,1호선,0159,동두천중앙,1,2,4
01,수도권,KR,1,1호선,0159,동두천중앙,1,3,4
01,수도권,KR,1,1호선,0159,동두천중앙,1,4,4
01,수도권,KR,1,1호선,0159,동두천중앙,1,5,4
01,수도권,KR,1,1호선,0159,동두천중앙,1,6,4
01,수도권,KR,1,1호선,0159,동두천중앙,1,7,4
01,수도권,KR,1,1호선,0159,동두천중앙,1,8,4
01,수도권,KR,1,1호선,0159,동두천중앙,1,9,4
01,수도권,KR,1,1호선,0159,동두천중앙,1,10,4
01,수도권,KR,1,1호선,0159,동두천중앙,2,1,4
01,수도권,KR,1,1호선,0159,동두천중앙,2,2,4
01,수도권,KR,1,1호선,0159,동두천중앙,2,3,4
01,수도권,KR,1,1호선,0159,동두천중앙,2,4,4
01,수도권,KR,1,1호선,0159,동두천중앙,2,5,4
01,수도권,KR,1,1호선,0159,동두천중앙,2,6,4
01,수도권,KR,1,1호선,0159,동두천중앙,2,7,4
01,수도권,KR,1,1호선,0159,동두천중앙,2,8,4
01,수도권,KR,1,1호선,0159,동두천중앙,2,9,4
01,수도권,KR,1,1호선,0159,동두천중앙,2,10,4
01,수도권,KR,1,1호선,0538,지행,1,1,4
01,수도권,KR,1,1호선,0538,지행,1,2,4
01,수도권,KR,1,1호선,0538,지행,1,3,4
01,수도권,KR,1,1호선,0538,지행,1,4,4
01,수도권,KR,1,1호선,0538,지행,1,5,4
01,수도권,KR,1,1호선,0538,지행,1,6,4
01,수도권,KR,1,1호선,0538,지행,1,7,4
01,수도권,KR,1,1호선,0538,지행,1,8,4
