station_id,ln_nm,stin_nm,plf_no,car_ordr,car_etrc_no,car_label,facility_nm
KR_1_1370,1호선,연천,1,4,4,4-4칸,계단
KR_1_1370,1호선,연천,1,6,1,6-1칸,엘리베이터
KR_1_1370,1호선,연천,1,7,4,7-4칸,에스컬레이터
KR_1_1370,1호선,연천,2,4,4,4-4칸,계단
KR_1_1370,1호선,연천,2,6,1,6-1칸,엘리베이터
KR_1_1370,1호선,연천,2,7,4,7-4칸,에스컬레이터
KR_1_1369,1호선,전곡,1,3,3,3-3칸,계단
KR_1_1369,1호선,전곡,1,5,4,5-4칸,엘리베이터
KR_1_1369,1호선,전곡,1,7,2,7-2칸,에스컬레이터
KR_1_1369,1호선,전곡,2,4,2,4-2칸,에스컬레이터
KR_1_1369,1호선,전곡,2,6,1,6-1칸,엘리베이터
KR_1_1369,1호선,전곡,2,8,2,8-2칸,계단
KR_1_1368,1호선,청산,1,4,3,4-3칸,에스컬레이터
KR_1_1368,1호선,청산,1,4,3,4-3칸,계단
KR_1_1368,1호선,청산,1,6,1,6-1칸,엘리베이터
KR_1_1368,1호선,청산,2,5,4,5-4칸,엘리베이터
KR_1_1368,1호선,청산,2,7,2,7-2칸,에스컬레이터
KR_1_1368,1호선,청산,2,7,2,7-2칸,계단
KR_1_0324,1호선,소요산,1,4,3,4-3칸,계단
KR_1_0324,1호선,소요산,1,6,1,6-1칸,엘리베이터
KR_1_0324,1호선,소요산,1,7,4,7-4칸,에스컬레이터
KR_1_0158,1호선,동두천,1,5,1,5-1칸,엘리베이터
KR_1_0158,1호선,동두천,1,6,4,6-4칸,에스컬레이터
KR_1_0158,1호선,동두천,1,8,1,8-1칸,계단
KR_1_0158,1호선,동두천,2,5,1,5-1칸,엘리베이터
KR_1_0158,1호선,동두천,2,6,4,6-4칸,에스컬레이터
KR_1_0158,1호선,동두천,2,8,1,8-1칸,계단
KR_1_0235,1호선,보산,1,2,1,2-1칸,계단
KR_1_0235,1호선,보산,1,4,3,4-3칸,계단
KR_1_0235,1호선,보산,1,5,3,5-3칸,에스컬레이터
KR_1_0235,1호선,보산,1,7,2,7-2칸,계단
KR_1_0235,1호선,보산,1,9,3,9-3칸,엘리베이터
KR_1_0235,1호선,보산,2,2,2,2-2칸,엘리베이터
KR_1_0235,1호선,보산,2,4,3,4-3칸,계단
KR_1_0235,1호선,보산,2,6,2,6-2칸,에스컬레이터
KR_1_0235,1호선,보산,2,7,2,7-2칸,계단
KR_1_0235,1호선,보산,2,9,4,9-4칸,계단
KR_1_0159,1호선,동두천중앙,1,2,3,2-3칸,계단
KR_1_0159,1호선,동두천중앙,1,4,3,4-3칸,계단
KR_1_0159,1호선,동두천중앙,1,5,3,5-3칸,에스컬레이터
