are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,plf_no,plf_tp_nm,run_dir_tmn_stin_nm,next_stin_nm,screen_door,safety_footboard,platform_crossable,braille_block,braille_sign
01,수도권,KR,1,1호선,1370,연천,1,상대식,,연천,×,●,×,×,×
01,수도권,KR,1,1호선,1370,연천,2,상대식,,전곡,×,●,×,×,×
01,수도권,KR,1,1호선,1369,전곡,1,섬식,,연천,●,×,×,×,×
01,수도권,KR,1,1호선,1369,전곡,2,섬식,,청산,●,×,×,×,×
01,수도권,KR,1,1호선,1368,청산,1,상대식,,전곡,●,×,●,×,×
01,수도권,KR,1,1호선,1368,청산,2,상대식,,소요산,●,×,●,×,×
01,수도권,KR,1,1호선,0324,소요산,1,상대식,,청산,×,●,●,×,×
01,수도권,KR,1,1호선,0324,소요산,2,상대식,,동두천,×,●,●,×,×
01,수도권,KR,1,1호선,0158,동두천,1,섬식,,소요산,×,●,●,×,×
01,수도권,KR,1,1호선,0158,동두천,2,섬식,,보산,×,●,●,×,×
01,수도권,KR,1,1호선,0235,보산,1,상대식,,동두천,×,●,●,×,×
01,수도권,KR,1,1호선,0235,보산,2,상대식,,동두천중앙,×,●,●,×,×
01,수도권,KR,1,1호선,0159,동두천중앙,1,섬식,,보산,×,●,●,×,×
01,수도권,KR,1,1호선,0159,동두천중앙,2,섬식,,지행,×,●,●,×,×
01,수도권,KR,1,1호선,0538,지행,1,섬식,,동두천중앙,×,●,●,×,×
01,수도권,KR,1,1호선,0538,지행,2,섬식,,덕정,×,●,●,×,×
01,수도권,KR,1,1호선,0141,덕정,1,섬식,,지행,×,×,●,×,×
01,수도권,KR,1,1호선,0141,덕정,2,섬식,,덕계,×,×,●,×,×
01,수도권,KR,1,1호선,0139,덕계,1,상대식,,덕정,×,●,●,×,×
01,수도권,KR,1,1호선,0139,덕계,2,상대식,,양주,×,●,●,×,×
01,수도권,KR,1,1호선,0403,양주,1,섬식,,덕계,×,●,●,×,×
01,수도권,KR,1,1호선,0403,양주,2,섬식,,녹양,×,●,●,×,×
01,수도권,KR,1,1호선,0118,녹양,1,상대식,,양주,×,●,●,×,×
01,수도권,KR,1,1호선,0118,녹양,2,상대식,,가능,×,●,●,×,×
01,수도권,KR,1,1호선,0002,가능,1,상대식,연천,녹양,×,×,●,×,×
01,수도권,KR,1,1호선,0002,가능,2,상대식,인천,의정부,×,×,●,×,×
01,수도권,KR,1,1호선,0470,의정부,1,섬식,,가능,●,●,●,×,×
01,수도권,KR,1,1호선,0470,의정부,2,섬식,,회룡,●,●,●,×,×
01,수도권,KR,1,1호선,0606,회룡,1,상대식,,의정부,●,●,●,×,×
01,수도권,KR,1,1호선,0606,회룡,2,상대식,,망월사,●,●,●,×,×
01,수도권,KR,1,1호선,0190,망월사,1,상대식,,회룡,×,●,●,×,×
01,수도권,KR,1,1호선,0190,망월사,2,상대식,,도봉산,×,●,●,×,×
01,수도권,KR,1,1호선,0146,도봉산,1,상대식,,망월사,×,×,●,×,×
01,수도권,KR,1,1호선,0146,도봉산,2,상대식,,도봉,×,×,●,×,×
01,수도권,KR,1,1호선,0145,도봉,1,상대식,,도봉산,×,●,●,×,×
01,수도권,KR,1,1호선,0145,도봉,2,상대식,,방학,×,●,●,×,×
01,수도권,KR,1,1호선,0220,방학,1,상대식,,도봉,●,●,●,×,×
01,수도권,KR,1,1호선,0220,방학,2,상대식,,창동,●,●,●,×,×
01,수도권,KR,1,1호선,0541,창동,1,쌍섬식 (2폼 4선식),,방학,●,×,●,×,×
01,수도권,KR,1,1호선,0541,창동,2,쌍섬식 (2폼 4선식),,녹천,●,×,●,×,×
01,수도권,KR,1,1호선,0119,녹천,1,상대식,,창동,×,●,●,×,×
01,수도권,KR,1,1호선,0119,녹천,2,상대식,,월계,×,●,●,×,×
01,수도권,KR,1,1호선,0459,월계,1,상대식,,녹천,×,●,●,×,×
01,수도권,KR,1,1호선,0459,월계,2,상대식,,광운대,×,●,●,×,×
01,수도권,KR,1,1호선,0065,광운대,1,상대식,,월계,×,●,●,×,×
01,수도권,KR,1,1호선,0065,광운대,2,상대식,신창,석계,×,●,●,×,×
01,수도권,KR,1,1호선,0300,석계,1,섬식,,광운대,×,●,●,×,×
01,수도권,KR,1,1호선,0300,석계,2,섬식,,신이문,×,●,●,×,×
01,수도권,KR,1,1호선,0371,신이문,1,상대식,,석계,●,●,●,×,×
01,수도권,KR,1,1호선,0371,신이문,2,상대식,,외대앞,●,●,●,×,×
01,수도권,KR,1,1호선,0442,외대앞,1,섬식,,신이문,×,●,●,×,×
01,수도권,KR,1,1호선,0442,외대앞,2,섬식,,회기,×,●,●,×,×
01,수도권,KR,1,1호선,0604,회기,1,섬식,,외대앞,●,●,●,×,×
01,수도권,KR,1,1호선,0604,회기,2,섬식,,남영,●,●,●,×,×
01,수도권,S1,1,1호선,0552,청량리,1,섬식,,청량리,●,●,●,×,×
01,수도권,S1,1,1호선,0552,청량리,2,섬식,,제기동,●,●,●,×,×
01,수도권,S1,1,1호선,0512,제기동,1,상대식,,청량리,●,●,●,×,×
01,수도권,S1,1,1호선,0512,제기동,2,상대식,,신설동,●,●,●,×,×
01,수도권,S1,1,1호선,0367,신설동,1,상대식,,제기동,●,●,●,×,×
01,수도권,S1,1,1호선,0367,신설동,2,상대식,,동묘앞,●,●,●,×,×
01,수도권,S1,1,1호선,0161,동묘앞,1,상대식,,신설동,●,●,●,×,×
01,수도권,S1,1,1호선,0161,동묘앞,2,상대식,,동대문,●,●,●,×,×
01,수도권,S1,1,1호선,0155,동대문,1,상대식,,동묘앞,●,●,●,×,×
01,수도권,S1,1,1호선,0155,동대문,2,상대식,,종로5가,●,●,●,×,×
01,수도권,S1,1,1호선,0517,종로5가,1,상대식,,동대문,●,●,●,×,×
01,수도권,S1,1,1호선,0517,종로5가,2,상대식,,종로3가,●,●,●,×,×
01,수도권,S1,1,1호선,0515,종로3가,1,상대식,,종로5가,●,●,●,×,×
01,수도권,S1,1,1호선,0515,종로3가,2,상대식,,종각,●,●,●,×,×
01,수도권,S1,1,1호선,0514,종각,1,상대식,,종로3가,●,●,×,×,×
01,수도권,S1,1,1호선,0514,종각,2,상대식,,시청,●,●,×,×,×
01,수도권,S1,1,1호선,0347,시청,1,상대식,,종각,●,●,●,×,×
01,수도권,S1,1,1호선,0347,시청,2,상대식,,서울역,●,●,●,×,×
01,수도권,S1,1,1호선,0296,서울역,1,섬식,,시청,●,●,●,×,×
01,수도권,S1,1,1호선,0296,서울역,2,섬식,,서울역,●,●,●,×,×
01,수도권,KR,1,1호선,0108,남영,1,섬식,,회기,●,×,●,×,×
01,수도권,KR,1,1호선,0108,남영,2,섬식,,용산,●,×,●,×,×
01,수도권,KR,1,1호선,0447,용산,1,섬식,,남영,●,●,●,×,×
01,수도권,KR,1,1호선,0447,용산,2,섬식,,노량진,●,●,●,×,×
01,수도권,KR,1,1호선,0114,노량진,1,상대식,,용산,×,●,●,×,×
01,수도권,KR,1,1호선,0114,노량진,2,상대식,,대방,×,●,●,×,×
01,수도권,KR,1,1호선,0132,대방,1,상대식,,노량진,●,●,●,×,×
01,수도권,KR,1,1호선,0132,대방,2,상대식,,신길,●,●,●,×,×
01,수도권,KR,1,1호선,0351,신길,1,상대식,,대방,×,●,●,×,×
01,수도권,KR,1,1호선,0351,신길,2,상대식,,영등포,×,●,●,×,×
01,수도권,KR,1,1호선,0420,영등포,1,상대식,,신길,●,●,●,×,×
01,수도권,KR,1,1호선,0420,영등포,2,상대식,,신도림,●,●,●,×,×
01,수도권,KR,1,1호선,0359,신도림,1,상대식,,영등포,●,●,●,×,×
01,수도권,KR,1,1호선,0359,신도림,2,상대식,,구로,●,●,●,×,×
01,수도권,KR,1,1호선,0069,구로,1,섬식,,신도림,●,●,●,×,×
01,수도권,KR,1,1호선,0069,구로,2,섬식,인천,구일·가산디지털단지,●,●,●,×,×
01,수도권,KR,1,1호선,0077,구일,1,상대식,,구로,●,●,●,×,×
01,수도권,KR,1,1호선,0077,구일,2,상대식,인천,개봉,●,●,●,×,×
01,수도권,KR,1,1호선,0026,개봉,1,섬식,연천,구일,●,●,●,×,×
01,수도권,KR,1,1호선,0026,개봉,2,섬식,인천,오류동,●,●,●,×,×
01,수도권,KR,1,1호선,0427,오류동,1,쌍섬식 (2폼 4선식),,개봉,×,●,●,×,×
