are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,grnd_dv_cd,grnd_dv_nm,stin_flor,floor_label,seq
01,수도권,KR,1,1호선,1370,연천,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,1370,연천,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,1370,연천,1,지상,3,지상 3층,3
01,수도권,KR,1,1호선,1369,전곡,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,1369,전곡,1,지상,3,지상 3층,2
01,수도권,KR,1,1호선,1368,청산,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,1368,청산,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0324,소요산,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0158,동두천,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0158,동두천,1,지상,3,지상 3층,2
01,수도권,KR,1,1호선,0235,보산,1,지상,2,지상 2층,1
01,수도권,KR,1,1호선,0235,보산,1,지상,3,지상 3층,2
01,수도권,KR,1,1호선,0159,동두천중앙,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0159,동두천중앙,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0159,동두천중앙,1,지상,3,지상 3층,3
01,수도권,KR,1,1호선,0538,지행,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0538,지행,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0141,덕정,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0141,덕정,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0139,덕계,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0139,덕계,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0403,양주,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0403,양주,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0118,녹양,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0118,녹양,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0002,가능,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0002,가능,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0470,의정부,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0470,의정부,1,지상,3,지상 3층,2
01,수도권,KR,1,1호선,0470,의정부,2,지하,1,지하 1층,1
01,수도권,KR,1,1호선,0606,회룡,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0606,회룡,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0606,회룡,1,지상,3,지상 3층,3
01,수도권,KR,1,1호선,0190,망월사,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0190,망월사,2,지하,1,지하 1층,1
01,수도권,KR,1,1호선,0146,도봉산,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0146,도봉산,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0145,도봉,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0145,도봉,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0220,방학,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0220,방학,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0541,창동,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0541,창동,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0119,녹천,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0119,녹천,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0459,월계,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0459,월계,1,지상,2,지상 2층,2
01,수도권,KR,1,1호선,0065,광운대,1,지상,1,지상 1층,1
01,수도권,KR,1,1호선,0065,광운대,1,지상,2,지상 2층,2
