are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,line_order,stin_cons_ordr,prev_rail_opr_istt_cd,prev_ln_cd,prev_prpr_stin_cd,prev_stin_nm,next_rail_opr_istt_cd,next_ln_cd,next_prpr_stin_cd,next_stin_nm,has_platform_info,has_facility_info,has_move_path_info
01,수도권,KR,1,1호선,1370,연천,1,1,,,,,KR,1,1369,전곡,True,True,True
01,수도권,KR,1,1호선,1369,전곡,2,2,KR,1,1370,연천,KR,1,1368,청산,True,True,True
01,수도권,KR,1,1호선,1368,청산,3,3,KR,1,1369,전곡,KR,1,0324,소요산,True,True,True
01,수도권,KR,1,1호선,0324,소요산,4,4,KR,1,1368,청산,KR,1,0158,동두천,True,True,True
01,수도권,KR,1,1호선,0158,동두천,5,5,KR,1,0324,소요산,KR,1,0235,보산,True,True,True
01,수도권,KR,1,1호선,0235,보산,6,6,KR,1,0158,동두천,KR,1,0159,동두천중앙,True,True,True
01,수도권,KR,1,1호선,0159,동두천중앙,7,7,KR,1,0235,보산,KR,1,0538,지행,True,True,True
01,수도권,KR,1,1호선,0538,지행,8,8,KR,1,0159,동두천중앙,KR,1,0141,덕정,True,True,True
01,수도권,KR,1,1호선,0141,덕정,9,9,KR,1,0538,지행,KR,1,0139,덕계,True,True,True
01,수도권,KR,1,1호선,0139,덕계,10,10,KR,1,0141,덕정,KR,1,0403,양주,True,True,True
01,수도권,KR,1,1호선,0403,양주,11,11,KR,1,0139,덕계,KR,1,0118,녹양,True,True,True
01,수도권,KR,1,1호선,0118,녹양,12,12,KR,1,0403,양주,KR,1,0002,가능,True,True,True
01,수도권,KR,1,1호선,0002,가능,13,13,KR,1,0118,녹양,KR,1,0470,의정부,True,True,True
01,수도권,KR,1,1호선,0470,의정부,14,14,KR,1,0002,가능,KR,1,0606,회룡,True,True,True
01,수도권,KR,1,1호선,0606,회룡,15,15,KR,1,0470,의정부,KR,1,0190,망월사,True,True,True
01,수도권,KR,1,1호선,0190,망월사,16,16,KR,1,0606,회룡,KR,1,0146,도봉산,True,True,True
01,수도권,KR,1,1호선,0146,도봉산,17,17,KR,1,0190,망월사,KR,1,0145,도봉,True,True,True
01,수도권,KR,1,1호선,0145,도봉,18,18,KR,1,0146,도봉산,KR,1,0220,방학,True,True,True
01,수도권,KR,1,1호선,0220,방학,19,19,KR,1,0145,도봉,KR,1,0541,창동,True,True,True
01,수도권,KR,1,1호선,0541,창동,20,20,KR,1,0220,방학,KR,1,0119,녹천,True,False,True
01,수도권,KR,1,1호선,0119,녹천,21,21,KR,1,0541,창동,KR,1,0459,월계,True,True,True
01,수도권,KR,1,1호선,0459,월계,22,22,KR,1,0119,녹천,KR,1,0065,광운대,True,True,True
01,수도권,KR,1,1호선,0065,광운대,23,23,KR,1,0459,월계,KR,1,0300,석계,True,True,True
01,수도권,KR,1,1호선,0300,석계,24,24,KR,1,0065,광운대,KR,1,0371,신이문,True,True,True
01,수도권,KR,1,1호선,0371,신이문,25,25,KR,1,0300,석계,KR,1,0442,외대앞,True,True,True
01,수도권,KR,1,1호선,0442,외대앞,26,26,KR,1,0371,신이문,KR,1,0604,회기,True,True,True
01,수도권,KR,1,1호선,0604,회기,27,27,KR,1,0442,외대앞,S1,1,0552,청량리,True,True,True
01,수도권,S1,1,1호선,0552,청량리,28,28,KR,1,0604,회기,S1,1,0512,제기동,True,True,True
01,수도권,S1,1,1호선,0512,제기동,29,29,S1,1,0552,청량리,S1,1,0367,신설동,True,True,True
01,수도권,S1,1,1호선,0367,신설동,30,30,S1,1,0512,제기동,S1,1,0161,동묘앞,True,True,True
01,수도권,S1,1,1호선,0161,동묘앞,31,31,S1,1,0367,신설동,S1,1,0155,동대문,True,True,True
01,수도권,S1,1,1호선,0155,동대문,32,32,S1,1,0161,동묘앞,S1,1,0517,종로5가,True,True,True
01,수도권,S1,1,1호선,0517,종로5가,33,33,S1,1,0155,동대문,S1,1,0515,종로3가,True,True,True
01,수도권,S1,1,1호선,0515,종로3가,34,34,S1,1,0517,종로5가,S1,1,0514,종각,True,True,True
01,수도권,S1,1,1호선,0514,종각,35,35,S1,1,0515,종로3가,S1,1,0347,시청,True,True,True
01,수도권,S1,1,1호선,0347,시청,36,36,S1,1,0514,종각,S1,1,0296,서울역,True,True,True
